date,price
2018-06-19,46.47
2018-06-20,47.05
2018-06-21,46.76
2018-06-22,46.97
2018-06-25,46.0
2018-06-26,46.07
2018-06-27,45.67
2018-06-28,46.13
2018-06-29,46.07
2018-07-02,46.36
2018-07-03,45.79
2018-07-05,46.49
2018-07-06,47.23
2018-07-09,47.5
2018-07-10,47.48
2018-07-11,47.41
2018-07-12,48.16
2018-07-13,48.08
2018-07-16,47.94
2018-07-17,47.95
2018-07-18,47.81
2018-07-19,47.48
2018-07-20,47.32
2018-07-23,47.51
2018-07-24,47.85
2018-07-25,48.19
2018-07-26,46.38
2018-07-27,45.5
2018-07-30,44.78
2018-07-31,45.08
2018-08-01,44.89
2018-08-02,45.19
2018-08-03,45.5
2018-08-06,45.95
2018-08-07,46.01
2018-08-08,45.97
2018-08-09,46.22
2018-08-10,45.83
2018-08-13,45.77
2018-08-14,46.09
2018-08-15,45.45
2018-08-16,45.43
2018-08-17,45.22
2018-08-20,45.29
2018-08-21,45.57
2018-08-22,45.51
2018-08-23,45.33
2018-08-24,45.99
2018-08-27,46.43
2018-08-28,46.23
2018-08-29,46.49
2018-08-30,46.2
2018-08-31,45.75
2018-09-04,45.18
2018-09-05,44.59
2018-09-06,44.26
2018-09-07,44.35
2018-09-10,44.44
2018-09-11,44.89
2018-09-12,44.76
2018-09-13,45.08
2018-09-14,44.99
2018-09-17,44.56
2018-09-18,44.87
2018-09-19,44.99
2018-09-20,45.49
2018-09-21,45.28
2018-09-24,45.28
2018-09-25,45.3
2018-09-26,45.48
2018-09-27,45.87
2018-09-28,45.7
2018-10-01,45.52
2018-10-02,45.48
2018-10-03,45.68
2018-10-04,45.03
2018-10-05,44.6
2018-10-08,44.45
2018-10-09,44.42
2018-10-10,42.67
2018-10-11,42.31
2018-10-12,43.25
2018-10-15,43.08
2018-10-16,44.22
2018-10-17,44.4
2018-10-18,43.59
2018-10-19,43.58
2018-10-22,43.55
2018-10-23,43.45
2018-10-24,41.38
2018-10-25,42.76
2018-10-26,41.6
2018-10-29,40.96
2018-10-30,42.07
2018-10-31,42.94
2018-11-01,43.19
2018-11-02,42.76
2018-11-05,42.58
2018-11-06,42.83
2018-11-07,43.61
2018-11-08,43.2
2018-11-09,42.32
2018-11-12,41.68
2018-11-13,41.55
2018-11-14,41.76
2018-11-15,42.06
2018-11-16,41.86
2018-11-19,40.59
2018-11-20,40.06
2018-11-21,40.54
2018-11-23,40.0
2018-11-26,40.92
2018-11-27,41.05
2018-11-28,41.91
2018-11-29,42.05
2018-11-30,41.98
2018-12-03,42.05
2018-12-04,40.81
2018-12-06,41.26
2018-12-07,40.48
2018-12-10,40.79
2018-12-11,40.82
2018-12-12,41.26
2018-12-13,41.08
2018-12-14,40.68
2018-12-17,39.88
2018-12-18,40.06
2018-12-19,39.2
2018-12-20,38.51
2018-12-21,37.25
2018-12-24,36.47
2018-12-26,38.52
2018-12-27,38.69
2018-12-28,38.57
2018-12-31,38.63
2019-01-02,39.14
2019-01-03,38.49
2019-01-04,40.14
2019-01-07,40.6
2019-01-08,41.28
2019-01-09,41.34
2019-01-10,41.43
2019-01-11,41.22
2019-01-14,41.07
2019-01-15,41.75
2019-01-16,41.58
2019-01-17,41.74
2019-01-18,42.08
2019-01-22,41.21
2019-01-23,41.02
2019-01-24,41.21
2019-01-25,41.73
2019-01-28,41.37
2019-01-29,40.88
2019-01-30,41.47
2019-01-31,43.17
2019-02-01,43.02
2019-02-04,43.42
2019-02-05,43.9
2019-02-06,42.91
2019-02-07,42.5
2019-02-08,42.79
2019-02-11,42.35
2019-02-12,42.84
2019-02-13,42.87
2019-02-14,43.03
2019-02-15,43.21
2019-02-19,43.26
2019-02-20,43.11
2019-02-21,42.71
2019-02-22,43.11
2019-02-25,43.16
2019-02-26,43.16
2019-02-27,42.94
2019-02-28,42.97
2019-03-01,43.31
2019-03-04,43.36
2019-03-05,43.63
2019-03-06,43.61
2019-03-07,43.23
2019-03-08,43.2
2019-03-11,43.98
2019-03-12,44.18
2019-03-13,44.31
2019-03-14,44.11
2019-03-15,44.08
2019-03-18,43.7
2019-03-19,43.78
2019-03-20,44.17
2019-03-21,44.75
2019-03-22,44.03
2019-03-25,43.95
2019-03-26,44.17
2019-03-27,43.85
2019-03-28,43.75
2019-03-29,43.84
2019-04-01,44.51
2019-04-02,44.74
2019-04-03,44.91
2019-04-04,45.16
2019-04-05,45.29
2019-04-08,45.21
2019-04-09,45.33
2019-04-10,45.53
2019-04-11,45.56
2019-04-12,45.95
2019-04-15,45.91
2019-04-16,45.96
2019-04-17,46.04
2019-04-18,46.07
2019-04-22,46.28
2019-04-23,46.9
2019-04-24,46.68
2019-04-25,47.21
2019-04-26,47.58
2019-04-29,48.01
2019-04-30,46.94
2019-05-01,46.69
2019-05-02,46.5
2019-05-03,46.95
2019-05-06,46.88
2019-05-07,46.12
2019-05-08,46.04
2019-05-09,45.9
2019-05-10,46.04
2019-05-13,44.61
2019-05-14,44.86
2019-05-15,45.87
2019-05-16,46.27
2019-05-17,45.93
2019-05-20,45.17
2019-05-21,45.67
2019-05-22,45.62
2019-05-23,44.99
2019-05-24,44.98
2019-05-28,45.17
2019-05-29,44.73
2019-05-30,44.84
2019-05-31,44.14
2019-06-03,42.75
2019-06-04,43.67
2019-06-05,43.69
2019-06-06,43.88
2019-06-07,44.59
2019-06-10,44.55
2019-06-11,44.74
2019-06-12,44.53
2019-06-13,45.02
2019-06-14,45.11
2019-06-17,45.62
2019-06-18,45.88
2019-06-19,45.93
2019-06-20,46.22
2019-06-21,46.42
2019-06-24,46.53
2019-06-25,45.67
2019-06-26,45.49
2019-06-27,45.81
2019-06-28,46.25
2019-07-01,46.62
2019-07-02,47.06
2019-07-03,47.3
2019-07-05,47.37
2019-07-08,46.94
2019-07-09,47.24
2019-07-10,47.77
2019-07-11,47.8
2019-07-12,48.15
2019-07-15,48.16
2019-07-16,48.04
2019-07-17,47.59
2019-07-18,47.21
2019-07-19,46.6
2019-07-22,46.78
2019-07-23,46.95
2019-07-24,47.37
2019-07-25,47.25
2019-07-26,48.6
2019-07-29,48.33
2019-07-30,48.1
2019-07-31,47.71
2019-08-01,47.49
2019-08-02,47.03
2019-08-05,45.51
2019-08-06,46.16
2019-08-07,46.22
2019-08-08,47.15
2019-08-09,46.62
2019-08-12,46.13
2019-08-13,46.8
2019-08-14,45.14
2019-08-15,45.22
2019-08-16,45.8
2019-08-19,46.51
2019-08-20,46.2
2019-08-21,46.38
2019-08-22,46.28
2019-08-23,45.01
2019-08-26,45.69
2019-08-27,45.77
2019-08-28,45.88
2019-08-29,46.6
2019-08-30,46.54
2019-09-03,46.08
2019-09-04,46.97
2019-09-05,47.77
2019-09-06,47.67
2019-09-09,47.82
2019-09-10,47.88
2019-09-11,48.14
2019-09-12,48.28
2019-09-13,48.19
2019-09-16,48.02
2019-09-17,48.06
2019-09-18,48.01
2019-09-19,48.05
2019-09-20,47.74
2019-09-23,47.57
2019-09-24,46.86
2019-09-25,47.39
2019-09-26,46.93
2019-09-27,46.4
2019-09-30,46.64
2019-10-01,46.17
2019-10-02,45.47
2019-10-03,45.91
2019-10-04,46.54
2019-10-07,46.54
2019-10-08,45.78
2019-10-09,46.06
2019-10-10,46.32
2019-10-11,46.87
2019-10-14,46.76
2019-10-15,47.56
2019-10-16,47.65
2019-10-17,47.93
2019-10-18,47.37
2019-10-21,47.66
2019-10-22,47.2
2019-10-23,47.56
2019-10-24,47.03
2019-10-25,47.39
2019-10-28,47.84
2019-10-29,47.4
2019-10-30,47.53
2019-10-31,47.68
2019-11-01,47.99
2019-11-04,48.25
2019-11-05,48.27
2019-11-06,48.1
2019-11-07,48.4
2019-11-08,48.53
